5.833332000000000100e-03 6.820142968543856665e-08 1.474935026167067815e-20 9.077854674198149622e-35 1.441408149809979829e-48 3.009952936799586202e-61
7.578370853426713918e-03 8.927342437475535201e-08 2.183207414937434150e-20 1.424937622771782761e-34 2.318613978669561461e-48 4.871586559802928954e-61
9.323409706853427736e-03 1.165914862375163410e-07 3.226101516346000907e-20 2.233781516019024345e-34 3.725812322913850533e-48 7.878016713851999388e-61
1.106844856028013982e-02 1.519245302683772224e-07 4.759069507782093021e-20 3.497178185236237548e-34 5.980872609908870389e-48 1.272914189797771205e-60
1.281348741370685364e-02 1.975176392245761710e-07 7.008532927322614853e-20 5.467981955445509066e-34 9.590896105009815674e-48 2.055025018676224911e-60
1.455852626713356746e-02 2.562130832137459082e-07 1.030370237580023497e-19 8.538245647361559951e-34 1.536402063590480092e-47 3.314903232079847119e-60
1.630356512056027954e-02 3.316001177598368666e-07 1.512239844650619762e-19 1.331504060907287523e-33 2.458677929228154300e-47 5.342694637274839902e-60
1.804860397398699162e-02 4.281998815530960781e-07 2.215691537840719208e-19 2.073712947289667206e-33 3.930515141877738591e-47 8.603706891378883526e-60
1.979364282741370717e-02 5.516929723608782482e-07 3.240852315753274317e-19 3.225426086124146500e-33 6.276945809499314975e-47 1.384352268975306118e-59
2.153868168084041926e-02 7.091987556263602789e-07 4.732281507987001560e-19 5.010232467968042690e-33 1.001378734048788891e-46 2.225580891786008412e-59
2.328372053426713481e-02 9.096171860819701557e-07 6.898320390036929330e-19 7.772504917091206406e-33 1.595877064202476642e-46 3.574998863775585531e-59
2.502875938769384689e-02 1.164045932050871063e-06 1.003870474529742948e-18 1.204194105456135084e-32 2.540689489305882041e-46 5.737783929270236185e-59
2.677379824112055898e-02 1.486287921533806283e-06 1.458389750968626122e-18 1.863220995797569220e-32 4.040683577174950030e-46 9.201279631492663814e-59
2.851883709454727453e-02 1.893467117746339574e-06 2.115101444550334165e-18 2.879152314318881668e-32 6.419618099411726660e-46 1.474307338487472908e-58
3.026387594797398661e-02 2.406773420759269444e-06 3.062319854899321847e-18 4.443215006491912666e-32 1.018860315774605145e-45 2.360280313875337863e-58
